4955	6	3913
5869	6	7042
5863	6	4562
13044	3	3314
5886	6	5886
4859	4	10885
14085	6	12184
5863	6	4248
2546	3	14081
5869	6	6405
4467	6	13246
3265	6	2117
4308	3	6996
13979	4	4619
4467	3	6759
2546	3	9628
5863	3	12829
2546	6	14022
5863	6	8841
6610	3	6891
5869	3	14537
11341	6	12694
14308	3	6048
14085	6	4681
12164	6	13751
2546	6	9468
10166	3	1362
11037	6	13527
4955	3	979
12137	6	5959
14450	4	9556
1724	4	3986
5863	3	12460
5863	6	10562
2546	4	3889
1754	6	11400
4955	3	10974
7504	6	11070
5863	3	11470
3192	3	6534
5879	3	3788
7504	4	1088
10826	4	1628
7504	4	9628
2128	3	7593
10826	6	5594
4467	4	10186
14680	6	3846
1045	3	1223
11072	6	13213
9867	6	1315
1724	6	5884
13186	3	4305
4955	4	11336
13979	6	6646
3871	3	6997
6608	6	7411
14241	6	14571
10207	6	13072
10017	6	6871
4859	4	3665
7292	6	5231
7895	6	12127
13186	3	8341
13979	6	8967
2546	6	5635
10826	3	3809
4955	3	9408
1526	6	8654
4955	4	6110
2033	4	7760
5869	4	3325
3871	3	9729
2546	6	7089
3192	6	9811
11913	3	5935
6939	4	4687
9121	6	6555
10216	6	10282
4955	6	13060
11442	6	10578
3192	4	13137
14450	4	3258
13486	4	12821
4977	6	2204
7504	4	13927
1526	4	10564
7292	0	846
1045	3	4986
3871	3	10017
11970	6	13936
3871	6	7982
13044	3	8747
3192	4	1711
5869	3	7247
9121	6	6768
2546	4	10734
4955	4	8302
4467	3	8571
2546	6	5272
4955	3	10042
4977	3	8348
5863	3	12087
4955	6	8651
11041	6	7497
11341	3	10764
4955	6	9369
5879	3	13461
4467	4	8619
14680	6	1685
4859	6	10830
4859	4	10969
13871	4	1099
5879	4	13652
2261	1	720
13112	0	3570
14085	6	7850
5863	3	9719
5863	4	9823
5863	3	8619
11037	6	9729
2546	3	12048
4467	6	8022
1526	6	7592
13350	3	2680
3265	3	8247
6316	6	1315
13979	6	7316
2078	0	340
6608	6	6086
6608	3	4880
5863	4	10271
3192	4	5873
10040	6	10805
5863	6	8327
2128	3	6683
1526	6	13391
1045	6	2196
11037	6	1212
5863	4	4551
4955	4	7982
5863	4	6291
1539	3	9843
4467	6	9319
14450	6	13085
1539	6	6350
2366	6	5231
5882	6	8912
11913	6	6803
6610	3	7593
11037	6	1900
7946	3	13846
11037	3	970
8567	0	3570
13979	6	9297
8247	4	13311
3871	4	2407
3871	4	4652
4955	4	8885
13350	6	7066
13186	4	4064
14450	6	12082
7946	6	13350
5863	6	3710
1045	4	2546
14450	4	13391
1754	6	4356
8678	4	4934
4308	6	8619
6939	4	11407
4859	4	10208
2546	6	7982
3192	6	2840
5863	3	4659
6608	4	6762
8247	6	6731
13979	6	5283
6939	3	6409
1045	6	13979
7946	6	14219
4308	6	4948
1468	0	362
3287	3	3913
2546	6	12184
3871	3	3798
5869	6	11456
10216	6	12762
1533	6	8270
5863	6	6743
5863	6	6005
11037	3	9235
6608	3	13058
13186	3	10487
2546	6	4015
11037	6	9586
4308	3	3536
6939	6	13461
5863	3	11822
1045	4	5939
10826	4	6553
5863	3	5458
2546	4	6540
11970	3	2061
10166	6	14031
3192	3	7581
10207	6	8222
2546	6	3527
6610	6	10210
9235	6	2914
14085	6	3842
5863	6	10836
10166	6	9231
5863	6	13467
5863	4	6052
10826	6	8308
3871	4	2871
13044	6	5866
14085	6	12878
13871	6	10760
3192	6	9156
1545	6	3921
11970	4	10439
5869	6	5480
4955	4	11174
6608	4	7939
10166	6	12453
5879	3	13381
4467	6	14442
13044	4	11293
6610	4	13036
10166	6	6085
10713	0	340
5869	6	6561
3987	6	8143
6608	4	3945
1045	6	9754
14649	3	9165
4467	6	7801
11913	4	14537
13044	6	13483
9235	3	1397
1754	4	12639
1526	3	13474
13979	6	10995
11341	4	2866
4454	6	10460
7895	6	14165
4955	6	2387
3287	3	6843
1754	6	3478
6608	6	6860
5863	6	7066
14085	6	5082
4308	3	10735
5863	6	10885
4859	3	13163
14450	6	5566
14680	3	14443
11341	3	3989
4977	6	6608
13979	4	11863
13419	0	340
11700	0	751
3871	6	8026
4467	6	4652
13350	6	4509
2546	3	6100
7946	3	10735
11037	6	3314
4955	4	13528
7504	4	3644
4308	3	2874
13979	6	9220
13353	3	14378
11970	4	8562
2546	4	10156
1526	4	2687
1045	4	4833
2546	6	1585
4467	4	6468
3205	0	636
10216	3	5935
4977	3	7783
10040	4	13546
1533	6	12199
5863	6	3501
3871	3	4903
3402	0	751
11341	6	9022
3871	3	1879
10826	6	7290
1526	4	13311
4467	6	11562
14241	6	2691
3192	3	995
11341	6	12146
4955	4	13172
10166	4	7769
11041	4	8849
5863	3	12913
3192	3	3512
6610	6	1971
3192	4	2861
5869	4	14101
14241	6	9028
4955	6	6498
1754	3	11456
11970	6	9114
7071	3	10669
7946	4	11839
13474	3	6619
14450	6	5389
11970	6	5799
5863	6	13698
6608	6	12043
2439	6	5231
13078	0	5745
5863	6	3315
1539	6	1877
11970	6	9497
5863	3	6290
11970	6	12962
14450	4	9348
5882	6	2848
4955	4	9158
3987	3	13046
6325	3	8655
6610	6	3802
1526	3	9856
10207	4	14306
5863	3	8034
4955	6	12508
10166	6	8934
14649	4	10764
13871	3	11668
14450	6	8287
5863	6	11414
5863	6	12587
5863	4	2159
3192	6	11796
1533	3	12897
4308	3	3753
6939	4	12960
14450	6	1260
7946	3	7868
1526	6	13469
13871	6	1022
10216	3	10826
2546	4	2108
1526	3	12135
2546	6	4364
2441	0	751
3871	4	4891
4955	6	13836
7504	6	996
10207	6	1902
11913	6	7784
5863	6	3825
2425	4	10067
6610	4	9367
2425	3	2954
2128	4	2541
14680	4	1483
2546	6	9572
5863	4	10430
4308	6	6761
11702	0	762
10216	4	8320
11341	3	2799
14450	6	1675
5863	3	5245
9235	4	13043
5863	6	7760
11341	6	9754
2546	3	8351
9235	3	14450
6610	6	3844
14450	4	7723
4955	4	6753
4308	4	4601
9235	3	3667
1754	4	1714
13979	6	6773
1754	6	2135
11771	4	12130
2546	4	6897
1564	6	5231
5882	4	2870
2546	6	2558
14450	6	2772
2546	6	6608
10207	3	4392
6939	6	10042
13044	6	14518
5882	6	5249
1754	4	3159
8247	3	13020
14085	6	6739
10826	4	14571
10207	6	10008
13979	6	11242
5863	3	10124
3192	6	5285
13474	6	9785
6608	4	6608
4859	6	6843
6608	3	11330
13044	6	3824
7895	6	14649
5879	6	7108
5863	6	11270
14085	3	13409
5882	3	13832
14450	6	6740
5882	4	3338
1754	6	8758
9235	6	12048
14085	6	6401
1149	0	5745
1526	6	11073
14450	6	12498
5863	6	4371
14085	3	6871
9235	3	13486
3987	6	1249
1754	3	3881
11970	6	10974
2546	4	11102
9121	6	1945
11970	6	3892
1545	6	4334
5879	6	1619
7504	6	10439
3265	4	2184
6610	6	5562
13186	6	8017
13979	6	12177
11341	3	14159
6608	4	5161
3192	6	8393
6325	4	12128
5879	6	12565
11913	6	7461
5863	4	13720
14450	3	2853
3287	4	9847
14680	6	11262
5863	6	11073
2546	6	1897
1045	6	1222
6939	6	5083
2128	6	10156
7946	4	9128
10166	6	12957
10216	6	9913
6608	4	5071
7504	6	5786
10166	3	4416
1045	3	11043
2546	3	3478
10207	4	12903
11341	6	4907
14085	4	4849
5863	3	11447
5863	3	13238
5954	6	11255
13350	3	6925
2546	4	6192
13186	3	11047
14680	4	12377
14085	6	4351
13871	3	8143
2546	4	7900
3871	3	12862
2546	6	13430
10216	3	3666
11970	3	1418
11041	6	7808
13044	3	3666
5882	6	8006
11037	6	13818
10216	4	8987
1526	6	5424
11341	4	3887
5863	6	13025
6608	6	8287
10207	6	11492
5879	3	982
5863	4	8013
6939	6	11681
13186	6	14177
6939	4	6424
5886	3	11442
4955	3	1337
13044	6	4966
